165;22;32;1.432
165;22;16;1.021
165;22;4;2.222
165;22;16;0.978
1020;22;4;5.749
165;22;8;1.482
165;22;32;0.716
165;22;2;2.608
165;22;2;2.824
1020;22;16;2.665
165;22;24;0.458
1020;22;1;20.736
165;22;2;2.393
165;22;16;1.704
1020;22;1;21.715
165;22;1;3.589
1020;22;4;6.072
1020;22;16;1.627
165;22;16;1.469
165;22;24;1.577
1020;22;24;1.973
1020;22;32;1.512
1020;22;16;1.888
1020;22;4;5.553
165;22;16;1.651
1020;22;32;2.125
165;22;2;1.799
1020;22;32;0.889
165;22;2;3.095
165;22;16;0.402
165;22;32;0.365
165;22;1;4.307
165;22;8;0.645
165;22;2;3.078
1020;22;8;3.396
1020;22;1;21.163
1020;22;32;1.709
165;22;8;1.144
165;22;16;0.784
165;22;8;1.258
1020;22;1;21.785
165;22;16;0.914
1020;22;24;1.214
165;22;16;0.387
1020;22;24;1.348
165;22;1;3.714
165;22;1;3.95
165;22;1;4.222
1020;22;8;3.519
1020;22;4;5.978
